Model;Link;Price usd($);Price UAH;City
MINI Hatch 2021Cooper S 2.0 Steptronic (192 л.с.);https://auto.ria.com/newauto/auto-mini-hatch-1863678.html;36 138 $;977 450 грн;Киев
MINI Countryman 2021Cooper S 2.0D AT (190 л.с.);https://auto.ria.com/newauto/auto-mini-countryman-1863676.html;40 240 $;1 088 398 грн;Киев
MINI Clubman 2021Cooper S 2.0 AT (192 л.с.);https://auto.ria.com/newauto/auto-mini-clubman-1863679.html;38 705 $;1 046 904 грн;Киев
MINI Cooper S 2020base 2.0i (192 л.с.) MT;https://auto.ria.com/newauto/auto-mini-cooper-s-1860831.html;37 082 $;1 002 990 грн;Киев
MINI Hatch 2021(3 двери) JCW 2.0 Steptronic (231 л.с.);https://auto.ria.com/newauto/auto-mini-hatch-1863702.html;41 610 $;1 125 466 грн;Киев
MINI Countryman 2021Cooper S 2.0D AT (190 л.с.);https://auto.ria.com/newauto/auto-mini-countryman-1863672.html;37 399 $;1 011 556 грн;Киев
MINI Countryman 2021Cooper S 2.0D AT (190 л.с.);https://auto.ria.com/newauto/auto-mini-countryman-1863681.html;44 111 $;1 193 105 грн;Киев
MINI Hatch 2021Cooper S 2.0 Steptronic (192 л.с.);https://auto.ria.com/newauto/auto-mini-hatch-1863704.html;41 569 $;1 124 351 грн;Киев
MINI Hatch 2021(3 двери) JCW 2.0 Steptronic (231 л.с.);https://auto.ria.com/newauto/auto-mini-hatch-1863689.html;41 752 $;1 129 319 грн;Киев
