Model;Link;Price usd($);Price UAH;City
Volvo XC60 2020KERS Inscription B4 2.0D 8АT (197 л.с.) AWD;https://auto.ria.com/newauto/auto-volvo-xc60-1852313.html;65 237 $;1 764 531 грн;Днепр (Днепропетровск)
Volvo XC60 2020KERS Momentum Pro B4 2.0D 8АT (197 л.с.) AWD;https://auto.ria.com/newauto/auto-volvo-xc60-1863706.html;61 246 $;1 758 276 грн;Чубинское
Volvo XC90 2020KERS Inscription B5 2.0D 8AT (235 л.с.) AWD;https://auto.ria.com/newauto/auto-volvo-xc90-1810232.html;81 225 $;2 196 987 грн;Днепр (Днепропетровск)
Volvo XC40 2021Momentum T2 1.5 AT (129 л.с.);https://auto.ria.com/newauto/auto-volvo-xc40-1863662.html;38 991 $;1 054 620 грн;Киев
Volvo XC90 2020KERS Momentum Pro B5 2.0D 8AT (235 л.с.) AWD;https://auto.ria.com/newauto/auto-volvo-xc90-1848204.html;68 145 $;1 843 189 грн;Днепр (Днепропетровск)
Volvo XC90 2021KERS Momentum Pro T5 2.0 AT (250 л.с.) AWD;https://auto.ria.com/newauto/auto-volvo-xc90-1859478.html;62 082 $;1 679 187 грн;Киев
Volvo XC90 2021KERS Inscription B5 2.0D 8AT (235 л.с.) AWD;https://auto.ria.com/newauto/auto-volvo-xc90-1862824.html;76 175 $;2 186 860 грн;Чубинское
Volvo XC90 2020R-Design Т6 2.0 AT (310 л.с.) AWD;https://auto.ria.com/newauto/auto-volvo-xc90-1853359.html;84 534 $;2 286 471 грн;Херсон
Volvo XC90 2021KERS Inscription B5 2.0D 8AT (235 л.с.) AWD;https://auto.ria.com/newauto/auto-volvo-xc90-1864109.html;76 175 $;2 060 371 грн;Киев
Volvo XC60 2020R-Design T6 2.0 АT (320 л.с.) Hybrid;https://auto.ria.com/newauto/auto-volvo-xc60-1863908.html;72 112 $;1 950 480 грн;Львов
Volvo V60 2021R-Design B4 2.0 8AT (197 к.с./14 к.с.) FWD;https://auto.ria.com/newauto/auto-volvo-v60-1863827.html;52 395 $;1 417 176 грн;Львов
Volvo XC40 2020Momentum Pro D3 2.0 AT (150 л.с.) AWD;https://auto.ria.com/newauto/auto-volvo-xc40-1844344.html;47 789 $;1 292 589 грн;Киев
Volvo XC60 2022Kers Momentum Pro D4 2.0 8АT (190 л.с.) FWD;https://auto.ria.com/newauto/auto-volvo-xc60-1864143.html;53 416 $;1 444 808 грн;Киев
Volvo XC40 2020R-Design B4 2.0 AT (197 л.с.) MHEV AWD;https://auto.ria.com/newauto/auto-volvo-xc40-1847402.html;53 180 $;1 438 407 грн;Харьков
Volvo XC90 2021KERS Momentum Pro T5 2.0 AT (250 л.с.) AWD;https://auto.ria.com/newauto/auto-volvo-xc90-1858822.html;65 520 $;1 772 174 грн;Херсон
Volvo XC90 2021KERS Inscription B5 2.0D 8AT (235 л.с.) AWD;https://auto.ria.com/newauto/auto-volvo-xc90-1863831.html;77 502 $;2 096 280 грн;Львов
Volvo XC90 2021KERS Momentum Pro B5 2.0D 8AT (235 л.с.) AWD;https://auto.ria.com/newauto/auto-volvo-xc90-1863829.html;70 770 $;1 914 192 грн;Львов
Volvo XC90 2021Inscription B5 2.0 8AT (249 л.с.) AWD;https://auto.ria.com/newauto/auto-volvo-xc90-1860474.html;76 175 $;2 060 371 грн;Херсон
Volvo XC90 2020KERS Momentum Pro B5 2.0D 8AT (235 л.с.) AWD;https://auto.ria.com/newauto/auto-volvo-xc90-1858137.html;68 180 $;1 844 144 грн;Киев
Volvo XC90 2021Inscription T8 2.0 AT (390 л.с.) Hybrid AWD 7s;https://auto.ria.com/newauto/auto-volvo-xc90-1831958.html;94 176 $;2 547 281 грн;Днепр (Днепропетровск)
Volvo XC40 2020Individual T2 1.5 AT (129 л.с.);https://auto.ria.com/newauto/auto-volvo-xc40-1831374.html;38 322 $;1 036 523 грн;Днепр (Днепропетровск)
Volvo XC90 2020KERS R-Design B6 2.0 AT (310 л.с.) AWD;https://auto.ria.com/newauto/auto-volvo-xc90-1832942.html;81 708 $;2 210 043 грн;Днепр (Днепропетровск)
Volvo XC90 2020Inscription B5 2.0 8AT (249 л.с.) AWD;https://auto.ria.com/newauto/auto-volvo-xc90-1857126.html;77 729 $;2 102 407 грн;Киев
Volvo XC90 2020Inscription T8 2.0 AT (390 л.с.) Hybrid AWD 7s;https://auto.ria.com/newauto/auto-volvo-xc90-1852454.html;94 176 $;2 547 281 грн;Днепр (Днепропетровск)
