Model;Link;Price usd($);Price UAH;City
Mitsubishi Outlander 2021Intense 2.0 CVT (145 л.с.) 4WD;https://auto.ria.com/newauto/auto-mitsubishi-outlander-1862557.html;28 172 $;762 000 грн;Кривой Рог
Mitsubishi Outlander 2021Invite 2.0 CVT (145 л.с.) 2WD;https://auto.ria.com/newauto/auto-mitsubishi-outlander-1861649.html;25 104 $;679 000 грн;Харьков
Mitsubishi Eclipse Cross 2020Intense 1.5T CVT (150 л.с.);https://auto.ria.com/newauto/auto-mitsubishi-eclipse-cross-1845982.html;26 582 $;719 000 грн;Винница
Mitsubishi L 200 2021Ultimate New 2.4 DI-D AT (181 л.с.) 4WD;https://auto.ria.com/newauto/auto-mitsubishi-l-200-1862764.html;41 371 $;1 119 000 грн;Киев
Mitsubishi Pajero Sport 2021Intense 2.4 DI-D AТ (181 л.с.) Super Select 4WD-II;https://auto.ria.com/newauto/auto-mitsubishi-pajero-sport-1844112.html;46 214 $;1 257 000 грн;Днепр (Днепропетровск)
Mitsubishi Pajero Sport 2021Ultimate 2.4 DI-D AТ (181 л.с.) Super Select 4WD-II;https://auto.ria.com/newauto/auto-mitsubishi-pajero-sport-1859002.html;50 725 $;1 372 000 грн;Черновцы
Mitsubishi Pajero Sport 2021Intense 2.4 DI-D AТ (181 л.с.) Super Select 4WD-II;https://auto.ria.com/newauto/auto-mitsubishi-pajero-sport-1859034.html;46 473 $;1 257 000 грн;Черновцы
Mitsubishi Outlander 2021Inform 2.0 CVT (145 л.с.) 2WD;https://auto.ria.com/newauto/auto-mitsubishi-outlander-1859020.html;22 146 $;599 000 грн;Черновцы
Mitsubishi Outlander 2021Invite 2.0 CVT (145 л.с.) 2WD;https://auto.ria.com/newauto/auto-mitsubishi-outlander-1863138.html;24 964 $;679 000 грн;Днепр (Днепропетровск)
Mitsubishi Outlander 2021Intense 2.0 CVT (145 л.с.) 4WD;https://auto.ria.com/newauto/auto-mitsubishi-outlander-1862470.html;28 015 $;762 000 грн;Днепр (Днепропетровск)
Mitsubishi Outlander 2021Instyle 2.4 CVT (167 л.с.) 4WD 7s;https://auto.ria.com/newauto/auto-mitsubishi-outlander-1863962.html;30 853 $;834 500 грн;Одесса
Mitsubishi Outlander 2021Inform 2.0 CVT (145 л.с.) 2WD;https://auto.ria.com/newauto/auto-mitsubishi-outlander-1858194.html;22 146 $;599 000 грн;Харьков
Mitsubishi Outlander 2021Intense 2.0 CVT (145 л.с.) 4WD;https://auto.ria.com/newauto/auto-mitsubishi-outlander-1753873.html;28 015 $;762 000 грн;Днепр (Днепропетровск)
Mitsubishi Outlander 2021Intense 2.0 CVT (145 л.с.) 4WD;https://auto.ria.com/newauto/auto-mitsubishi-outlander-1840664.html;28 172 $;762 000 грн;Полтава
Mitsubishi Outlander 2021Intense 2.0 CVT (145 л.с.) 4WD;https://auto.ria.com/newauto/auto-mitsubishi-outlander-1857485.html;28 172 $;762 000 грн;Черкассы
Mitsubishi Outlander 2021Intense 2.0 CVT (145 л.с.) 4WD;https://auto.ria.com/newauto/auto-mitsubishi-outlander-1851567.html;28 172 $;762 000 грн;Ивано-Франковск
Mitsubishi Outlander 2021Intense 2.0 CVT (145 л.с.) 4WD;https://auto.ria.com/newauto/auto-mitsubishi-outlander-1839835.html;28 172 $;762 000 грн;Киев
Mitsubishi Outlander 2021Invite 2.0 CVT (145 л.с.) 2WD;https://auto.ria.com/newauto/auto-mitsubishi-outlander-1861746.html;24 964 $;679 000 грн;Днепр (Днепропетровск)
Mitsubishi Outlander 2021Intense 2.0 CVT (145 л.с.) 4WD;https://auto.ria.com/newauto/auto-mitsubishi-outlander-1755279.html;28 015 $;762 000 грн;Днепр (Днепропетровск)
Mitsubishi Outlander 2021Intense 2.0 CVT (145 л.с.) 4WD;https://auto.ria.com/newauto/auto-mitsubishi-outlander-1750965.html;28 015 $;762 000 грн;Днепр (Днепропетровск)
Mitsubishi ASX 2021Instyle 2.0 CVT (150 л.с.) 4WD;https://auto.ria.com/newauto/auto-mitsubishi-asx-1839792.html;27 464 $;747 000 грн;Днепр (Днепропетровск)
Mitsubishi Outlander 2021Intense 2.0 CVT (145 л.с.) 4WD;https://auto.ria.com/newauto/auto-mitsubishi-outlander-1720337.html;28 015 $;762 000 грн;Днепр (Днепропетровск)
Mitsubishi Outlander 2021Instyle 2.4 CVT (167 л.с.) 4WD 7s;https://auto.ria.com/newauto/auto-mitsubishi-outlander-1840743.html;30 353 $;821 000 грн;Харьков
