Model;Link;Price usd($);Price UAH;City
Ford Fiesta Active 2020Active 1.0 EcoBoost AT (100 л.с.);https://auto.ria.com/newauto/auto-ford-fiesta-active-1851691.html;19 426 $;525 442 грн;Полтава
Ford Kuga 2020Titanium 2.0 EcoBlue AT (190 л.с.) AWD;https://auto.ria.com/newauto/auto-ford-kuga-1845610.html;35 129 $;950 159 грн;Одесса
Ford Puma 2020ST-Line 1.0 EcoBoost AT (125 л.с.);https://auto.ria.com/newauto/auto-ford-puma-1857600.html;25 784 $;697 405 грн;Полтава
Ford Kuga 2019Titanium New 1.5D AT (120 л.с.);https://auto.ria.com/newauto/auto-ford-kuga-1841075.html;24 993 $;676 018 грн;Мукачево
Ford Puma 2020Titanium 1.0 EcoBoost AT (125 л.с.);https://auto.ria.com/newauto/auto-ford-puma-1845654.html;25 421 $;687 587 грн;Мукачево
Ford Transit пасс. 2020Trend Minibus R410 L3H2 (130 л.с.);https://auto.ria.com/newauto/auto-ford-transit-pass-1856136.html;48 739 $;1 318 287 грн;Киев
Ford Puma 2020Lux 1.0 EcoBoost AT (125 л.с.);https://auto.ria.com/newauto/auto-ford-puma-1845600.html;26 504 $;716 877 грн;Ивано-Франковск
Ford EcoSport 2020Lux 1.0 EcoBoost AT (125 л.с.);https://auto.ria.com/newauto/auto-ford-ecosport-1847705.html;22 120 $;598 304 грн;Полтава
Ford Kuga 2021Titanium Plus 1.5 EcoBoost AT (182 л.с.);https://auto.ria.com/newauto/auto-ford-kuga-1863738.html;34 894 $;943 800 грн;Херсон
Ford Focus 2020Trend Edition 1.5 AT (120 л.с.);https://auto.ria.com/newauto/auto-ford-focus-1863869.html;23 149 $;626 136 грн;Киев
Ford Ranger 2020WildTrak Двойная 2.0D EcoBlue AT (213 л.с.) AWD;https://auto.ria.com/newauto/auto-ford-ranger-1853213.html;49 484 $;1 338 445 грн;Полтава
Ford EcoSport 2020Lux 1.0 EcoBoost AT (125 л.с.);https://auto.ria.com/newauto/auto-ford-ecosport-1850308.html;22 286 $;602 800 грн;Херсон
Ford Transit груз. 2020Trend 2.0D MT F350 (130 л.с.) L3H3;https://auto.ria.com/newauto/auto-ford-transit-gruz-1860995.html;36 790 $;995 100 грн;Херсон
