Model;Link;Price usd($);Price UAH;City
Mercedes-Benz GLE-Class 2021Individual Coupe AMG 53 AT (435 л.с.) 4Matic+;https://auto.ria.com/newauto/auto-mercedes-benz-gle-class-1840649.html;123 622 $;3 343 725 грн;Киев
Mercedes-Benz GLE-Class 2019300d AT (245 л.с.) 4Matic;https://auto.ria.com/newauto/auto-mercedes-benz-gle-class-1847578.html;97 938 $;2 649 026 грн;Киев
Mercedes-Benz S-Class 2021400d 9G-Tronic (330 л.с.) Long 4Matic;https://auto.ria.com/newauto/auto-mercedes-benz-s-class-1846016.html;176 602 $;4 776 718 грн;Киев
Mercedes-Benz GLS-Class 2021350d AT (286 л.с.) 4Matic;https://auto.ria.com/newauto/auto-mercedes-benz-gls-class-1864396.html;116 950 $;3 163 259 грн;Одесса
Mercedes-Benz GLE-Class 2021300d AT (245 л.с.) 4Matic;https://auto.ria.com/newauto/auto-mercedes-benz-gle-class-1859677.html;88 559 $;2 395 349 грн;Одесса
Mercedes-Benz E-Class 2020220d 9G-Tronic (194 л.с.) 4Matic;https://auto.ria.com/newauto/auto-mercedes-benz-e-class-1862964.html;63 522 $;1 718 133 грн;Киев
Mercedes-Benz V-Class 2021Individual 300d AT (239 л.с.) 4Matic Extra Long;https://auto.ria.com/newauto/auto-mercedes-benz-v-class-1836472.html;141 282 $;3 821 400 грн;Киев
Mercedes-Benz GLE-Class 2021300d AT (245 л.с.) 4Matic;https://auto.ria.com/newauto/auto-mercedes-benz-gle-class-1864430.html;86 597 $;2 342 263 грн;Одесса
Mercedes-Benz Maybach 2021GLS 600 AT (558 л.с.) 4Matic;https://auto.ria.com/newauto/auto-mercedes-benz-maybach-1858536.html;306 110 $;8 279 668 грн;Киев
Mercedes-Benz GLC-Class 2021220d AT (194 л.с.) 4Matic;https://auto.ria.com/newauto/auto-mercedes-benz-glc-class-1855115.html;63 650 $;1 721 604 грн;Киев
Mercedes-Benz GLE-Class 2021Coupe 400d AT (330 л.с.) 4Matic;https://auto.ria.com/newauto/auto-mercedes-benz-gle-class-1864389.html;137 640 $;3 722 889 грн;Киев
Mercedes-Benz GLA-Class 202135 AMG AT (306 л.с.) 4Matic;https://auto.ria.com/newauto/auto-mercedes-benz-gla-class-1860502.html;65 899 $;1 782 428 грн;Киев
Mercedes-Benz GLS-Class 2021Individual 400d AT (330 л.с.) 4Matic;https://auto.ria.com/newauto/auto-mercedes-benz-gls-class-1818064.html;135 394 $;3 662 143 грн;Киев
Mercedes-Benz G-Class 2021AMG 63 G-Ttonic (575 л.с.) 4Matic;https://auto.ria.com/newauto/auto-mercedes-benz-g-class-1850642.html;276 678 $;7 483 575 грн;Киев
Mercedes-Benz GLE-Class 2021300d AT (245 л.с.) 4Matic;https://auto.ria.com/newauto/auto-mercedes-benz-gle-class-1859978.html;79 821 $;2 158 995 грн;Киев
Mercedes-Benz GLE-Class 2021300d AT (245 л.с.) 4Matic;https://auto.ria.com/newauto/auto-mercedes-benz-gle-class-1859528.html;90 767 $;2 455 058 грн;Хмельницкий
Mercedes-Benz Vito пасс. 2020base Tourer 116 CDI AT (163 л.с.) 4Matic Base Long;https://auto.ria.com/newauto/auto-mercedes-benz-vito-pass-1840296.html;61 458 $;1 662 309 грн;Киев
