Model;Link;Price usd($);Price UAH;City
BMW S Series 20201000 RR;https://auto.ria.com/newauto/auto-bmw-s-series-1816555.html;29 110 $;787 368 грн;Харьков
BMW X6 2021base M50d Stepotronic (400 л.с.) xDrive;https://auto.ria.com/newauto/auto-bmw-x6-1834223.html;143 898 $;3 892 160 грн;Киев
BMW X6 M 2020Base Competition 4.4 Steptronic (625 л.с.) xDrive;https://auto.ria.com/newauto/auto-bmw-x6-m-1834872.html;223 697 $;6 050 550 грн;Киев
BMW X5 2021base 50i Steptronic (462 л.с.) xDrive;https://auto.ria.com/newauto/auto-bmw-x5-1811077.html;300 000 $;8 114 400 грн;Киев
BMW X5 2021base 30d Steptronic (265 л.с.) xDrive;https://auto.ria.com/newauto/auto-bmw-x5-1863328.html;97 943 $;2 627 941 грн;Одесса
BMW X6 2021base 40i Stepotronic (340 л.с.) xDrive;https://auto.ria.com/newauto/auto-bmw-x6-1863325.html;101 609 $;2 726 312 грн;Одесса
BMW M5 2021Competition 4.4i M Steptronic (625 л.с.) xDrive;https://auto.ria.com/newauto/auto-bmw-m5-1850042.html;164 828 $;4 458 268 грн;Киев
BMW X5 2021base 30d Steptronic (265 л.с.) xDrive;https://auto.ria.com/newauto/auto-bmw-x5-1863997.html;90 235 $;2 440 684 грн;Львов
BMW F Series 2021850 GS Adventure;https://auto.ria.com/newauto/auto-bmw-f-series-1847724.html;16 542 $;447 422 грн;Харьков
BMW X5 2021base 25d Steptronic (231 л.с.) xDrive;https://auto.ria.com/newauto/auto-bmw-x5-1862518.html;68 809 $;1 861 149 грн;Харьков
BMW X5 2020base 25d Steptronic (231 л.с.) xDrive;https://auto.ria.com/newauto/auto-bmw-x5-1856479.html;78 063 $;2 111 439 грн;Львов
BMW M5 20214.4i M Steptronic (600 л.с.) xDrive;https://auto.ria.com/newauto/auto-bmw-m5-1834549.html;211 923 $;5 732 100 грн;Киев
BMW X5 2021base 25d Steptronic (231 л.с.) xDrive;https://auto.ria.com/newauto/auto-bmw-x5-1862994.html;71 946 $;71 946 $;Винница
BMW F Series 2020900 R;https://auto.ria.com/newauto/auto-bmw-f-series-1832113.html;13 716 $;370 994 грн;Харьков
BMW X5 2021base M50d Steptronic (400 л.с.) xDrive;https://auto.ria.com/newauto/auto-bmw-x5-1859564.html;133 135 $;3 601 026 грн;Винница
BMW X4 2021base 20i AT (184 л.с.) xDrive;https://auto.ria.com/newauto/auto-bmw-x4-1863813.html;61 016 $;1 650 367 грн;Харьков
BMW M5 2021Competition 4.4i M Steptronic (625 л.с.) xDrive;https://auto.ria.com/newauto/auto-bmw-m5-1861947.html;244 627 $;6 616 658 грн;Киев
BMW F Series 2020900 XR;https://auto.ria.com/newauto/auto-bmw-f-series-1832114.html;16 130 $;436 276 грн;Харьков
BMW 7 Series 2021base M760Li Steptronic (609 л.с.) xDrive;https://auto.ria.com/newauto/auto-bmw-7-series-1854349.html;163 652 $;4 426 455 грн;Киев
BMW X7 2021base 40i Steptronic (340 л.с.) xDrive;https://auto.ria.com/newauto/auto-bmw-x7-1839348.html;135 395 $;3 662 175 грн;Киев
BMW 7 Series 2021base M760Li Steptronic (609 л.с.) xDrive;https://auto.ria.com/newauto/auto-bmw-7-series-1856690.html;119 749 $;3 238 967 грн;Ужгород
BMW X6 2021base 40i Stepotronic (340 л.с.) xDrive;https://auto.ria.com/newauto/auto-bmw-x6-1837070.html;124 799 $;3 375 570 грн;Киев
BMW X6 2021base 30d Stepotronic (265 л.с.) xDrive;https://auto.ria.com/newauto/auto-bmw-x6-1863804.html;99 630 $;2 694 788 грн;Харьков
BMW X7 2021base 40i Steptronic (340 л.с.) xDrive;https://auto.ria.com/newauto/auto-bmw-x7-1862735.html;118 679 $;3 210 040 грн;Харьков
BMW X5 2021base 25d Steptronic (231 л.с.) xDrive;https://auto.ria.com/newauto/auto-bmw-x5-1863830.html;80 421 $;2 175 236 грн;Харьков
BMW X5 2021base 30d Steptronic (265 л.с.) xDrive;https://auto.ria.com/newauto/auto-bmw-x5-1862299.html;90 099 $;2 436 990 грн;Ужгород
BMW 3 Series 2020320i Steptronic (184 л.с.);https://auto.ria.com/newauto/auto-bmw-3-series-1856688.html;41 331 $;1 117 929 грн;Ужгород
BMW X7 2021base M50d Steptronic (400 л.с.) xDrive;https://auto.ria.com/newauto/auto-bmw-x7-1834196.html;156 980 $;4 245 989 грн;Киев
BMW K Series 20201600 GTL;https://auto.ria.com/newauto/auto-bmw-k-series-1766103.html;33 555 $;907 582 грн;Харьков
BMW X6 2021base M50i Stepotronic (530 л.с.) xDrive;https://auto.ria.com/newauto/auto-bmw-x6-1837166.html;147 168 $;3 980 593 грн;Киев
BMW X4 2021base 20i AT (184 л.с.) xDrive;https://auto.ria.com/newauto/auto-bmw-x4-1863313.html;64 330 $;1 740 000 грн;Одесса
BMW X5 2021base 25d Steptronic (231 л.с.) xDrive;https://auto.ria.com/newauto/auto-bmw-x5-1860360.html;68 335 $;1 848 316 грн;Харьков
BMW R Series 2021R nine T;https://auto.ria.com/newauto/auto-bmw-r-series-1766091.html;25 178 $;681 005 грн;Харьков
BMW S Series 20201000XR;https://auto.ria.com/newauto/auto-bmw-s-series-1855273.html;23 535 $;631 484 грн;Одесса
BMW F Series 2020850 GS;https://auto.ria.com/newauto/auto-bmw-f-series-1855204.html;15 304 $;410 638 грн;Одесса
BMW R Series 202018 Pure;https://auto.ria.com/newauto/auto-bmw-r-series-1855259.html;31 747 $;851 824 грн;Одесса
BMW R Series 20201250 R;https://auto.ria.com/newauto/auto-bmw-r-series-1766088.html;23 312 $;630 531 грн;Харьков
BMW R Series 20211250 RT;https://auto.ria.com/newauto/auto-bmw-r-series-1766090.html;23 429 $;633 715 грн;Харьков
BMW S Series 20201000 RR;https://auto.ria.com/newauto/auto-bmw-s-series-1855206.html;34 049 $;913 583 грн;Одесса
BMW F Series 2020900 R;https://auto.ria.com/newauto/auto-bmw-f-series-1855263.html;12 715 $;341 172 грн;Одесса
BMW F Series 2021850 GS;https://auto.ria.com/newauto/auto-bmw-f-series-1859611.html;20 792 $;557 879 грн;Одесса
BMW X5 2021base 30d Steptronic (265 л.с.) xDrive;https://auto.ria.com/newauto/auto-bmw-x5-1862517.html;89 144 $;2 411 176 грн;Харьков
BMW R Series 2021R nine T Urban G/S;https://auto.ria.com/newauto/auto-bmw-r-series-1766095.html;17 189 $;464 937 грн;Харьков
BMW X6 2021base 40i Stepotronic (340 л.с.) xDrive;https://auto.ria.com/newauto/auto-bmw-x6-1863520.html;105 174 $;2 844 759 грн;Житомир
BMW X6 2021base 40i Stepotronic (340 л.с.) xDrive;https://auto.ria.com/newauto/auto-bmw-x6-1863201.html;104 047 $;2 814 270 грн;Львов
BMW X5 2021base 25d Steptronic (231 л.с.) xDrive;https://auto.ria.com/newauto/auto-bmw-x5-1851630.html;67 927 $;1 837 297 грн;Львов
BMW X6 2021base M50d Stepotronic (400 л.с.) xDrive;https://auto.ria.com/newauto/auto-bmw-x6-1861160.html;138 086 $;3 734 941 грн;Житомир
BMW X4 2021base 20i AT (184 л.с.) xDrive;https://auto.ria.com/newauto/auto-bmw-x4-1863354.html;59 705 $;1 614 892 грн;Львов
