Model;Link;Price usd($);Price UAH;City
Subaru Outback 2021Limited 2.5i CVT Lineartronic (188 л.с.) AWD;https://auto.ria.com/newauto/auto-subaru-outback-1861897.html;46 214 $;1 250 000 грн;Харьков
Subaru XV 2020TF EyeSight 2.0i CVT Lineartronic (156 л.с.) AWD;https://auto.ria.com/newauto/auto-subaru-xv-1854046.html;32 757 $;886 000 грн;Харьков
Subaru XV 2021Premium 2.0i-S CVT Lineartronic (156 л.с.) AWD;https://auto.ria.com/newauto/auto-subaru-xv-1854417.html;38 195 $;1 033 100 грн;Харьков
Subaru Forester 2021Premium 2.0i-L MHEV e-BOXER Lineartronic (150 л.с.) AWD;https://auto.ria.com/newauto/auto-subaru-forester-1858597.html;44 506 $;1 203 800 грн;Киев
Subaru XV 2021Touring 2.0i CVT Lineartronic (156 л.с.) AWD;https://auto.ria.com/newauto/auto-subaru-xv-1863006.html;36 831 $;996 200 грн;Киев
Subaru Forester 2020Premium 2.0i-L MHEV e-BOXER Lineartronic (150 л.с.) AWD;https://auto.ria.com/newauto/auto-subaru-forester-1858598.html;42 517 $;1 150 000 грн;Киев
Subaru XV 20212.0i-L MHEV e-BOXER Lineartronic (150 л.с.) AWD;https://auto.ria.com/newauto/auto-subaru-xv-1858572.html;39 493 $;1 068 200 грн;Киев
Subaru Forester 2021Sport 2.5i-S ES CVT Lineartronic (184 л.с.) AWD;https://auto.ria.com/newauto/auto-subaru-forester-1850044.html;41 412 $;1 120 100 грн;Киев
Subaru Outback 2021Limited 2.5i CVT Lineartronic (188 л.с.) AWD;https://auto.ria.com/newauto/auto-subaru-outback-1862827.html;46 214 $;1 250 000 грн;Херсон
Subaru Forester 2021Active 2.0i-L CVT Lineartronic (156 л.с.) AWD;https://auto.ria.com/newauto/auto-subaru-forester-1858569.html;31 999 $;865 500 грн;Днепр (Днепропетровск)
Subaru Forester 2021Active 2.0i-L CVT Lineartronic (156 л.с.) AWD;https://auto.ria.com/newauto/auto-subaru-forester-1858122.html;31 999 $;865 500 грн;Харьков
Subaru XV 2021Touring 2.0i-S CVT Lineartronic (156 л.с.) AWD;https://auto.ria.com/newauto/auto-subaru-xv-1839577.html;36 831 $;996 200 грн;Одесса
Subaru Forester 2021Active 2.0i-L CVT Lineartronic (156 л.с.) AWD;https://auto.ria.com/newauto/auto-subaru-forester-1862126.html;32 487 $;878 700 грн;Киев
Subaru Forester 2021Touring 2.0i-L ES CVT Lineartronic (156 л.с.) AWD;https://auto.ria.com/newauto/auto-subaru-forester-1858437.html;38 073 $;1 029 800 грн;Киев
Subaru Forester 2021Touring 2.0i-L ES CVT Lineartronic (156 л.с.) AWD;https://auto.ria.com/newauto/auto-subaru-forester-1859628.html;38 073 $;1 029 800 грн;Херсон
Subaru Forester 2021Touring 2.0i-L ES CVT Lineartronic (156 л.с.) AWD;https://auto.ria.com/newauto/auto-subaru-forester-1861546.html;38 073 $;1 029 800 грн;Киев
Subaru XV 2021Premium 2.0i-S CVT Lineartronic (156 л.с.) AWD;https://auto.ria.com/newauto/auto-subaru-xv-1836299.html;38 195 $;1 033 100 грн;Одесса
