Model;Link;Price usd($);Price UAH;City
Mazda MX-5 2021Top Hard Top 2.0 SkyActiv-G AT (184 л.с.);https://auto.ria.com/newauto/auto-mazda-mx-5-1862582.html;40 916 $;1 106 700 грн;Днепр (Днепропетровск)
Mazda 6 2021Touring 2.0 AТ (165 л.с.);https://auto.ria.com/newauto/auto-mazda-6-1857738.html;27 322 $;739 000 грн;Киев
Mazda MX-5 2021100th Anniversary Edition Hard Top 2.0 SkyActiv-G AT (184 л.с.);https://auto.ria.com/newauto/auto-mazda-mx-5-1863171.html;42 689 $;42 689 $;Полтава
Mazda MX-5 2021Top 2.0 SkyActiv-G AT (184 л.с.);https://auto.ria.com/newauto/auto-mazda-mx-5-1864076.html;38 894 $;1 052 000 грн;Винница
Mazda CX-9 2021Style 2.5 АТ (231 л.с.) AWD;https://auto.ria.com/newauto/auto-mazda-cx-9-1859181.html;43 918 $;1 187 900 грн;Харьков
Mazda 6 2021Top+ 2.5T AТ (231 л.с.);https://auto.ria.com/newauto/auto-mazda-6-1860064.html;40 528 $;1 096 200 грн;Харьков
Mazda 6 2021Premium+ 2.5T AТ (231 л.с.);https://auto.ria.com/newauto/auto-mazda-6-1860065.html;39 334 $;1 063 900 грн;Харьков
Mazda 6 2021Touring 2.0 AТ (165 л.с.);https://auto.ria.com/newauto/auto-mazda-6-1864294.html;27 322 $;739 000 грн;Днепр (Днепропетровск)
Mazda 6 2021Touring 2.0 AТ (165 л.с.);https://auto.ria.com/newauto/auto-mazda-6-1841019.html;27 322 $;739 000 грн;Харьков
Mazda CX-3 2021Touring + 2.0 SkyActiv-G АТ (121 л.с.);https://auto.ria.com/newauto/auto-mazda-cx-3-1840880.html;25 015 $;676 600 грн;Харьков
Mazda 6 2021Top 2.5T AТ (231 л.с.);https://auto.ria.com/newauto/auto-mazda-6-1864310.html;40 528 $;1 096 200 грн;Киев
Mazda 6 2021Premium+ Black Edition 2.5T AТ (231 л.с.);https://auto.ria.com/newauto/auto-mazda-6-1864291.html;39 330 $;1 063 800 грн;Днепр (Днепропетровск)
Mazda CX-5 2021Touring S 2.0 SkyActiv-G AT (165 л.с.) 2WD;https://auto.ria.com/newauto/auto-mazda-cx-5-1864307.html;29 906 $;808 900 грн;Киев
Mazda CX-30 2021Style 2.0 SkyActive AT (150 л.с.);https://auto.ria.com/newauto/auto-mazda-cx-30-1862907.html;28 019 $;756 500 грн;Полтава
Mazda CX-30 2021Style 2.0 SkyActive AT (150 л.с.);https://auto.ria.com/newauto/auto-mazda-cx-30-1859644.html;28 019 $;756 500 грн;Полтава
